treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.id_in_group,player.random_block,player.random_order,player.control_question1,player.control_question2,player.alternative1,player.policy_choice,player.Price_UR_A,player.Price_UN_A,player.Price_O_A,player.EV_A,player.Revenue_A,player.Price_UR_B,player.Price_UN_B,player.Price_O_B,player.EV_B,player.Revenue_B,player.attributes_binary_1,player.attributes_binary_2,player.attributes_binary_3,player.attributes_binary_4,player.attributes_binary_5,subsession.round_number,session.code
Public Services,328,0l2vcpx9,169,169,A_Planet3_ES,End,34:26.2,1,328,6,602457631,,,,1,4,4,2,1,2,3,1,3,3,4,,,,,,2,uln4i2w2
Road Pricing,329,qhy5uo0t,169,169,A_Planet3_ES,End,11:53.4,1,329,2,270623145,,,,3,2,1,1,2,4,4,2,3,3,1,,,,,,2,uln4i2w2
Social Norm,330,80erot00,169,169,A_Planet3_ES,End,10:43.6,1,330,2,272051463,,,,2,4,3,1,3,4,3,4,3,1,3,,,,,,2,uln4i2w2
Baseline,331,hugol910,169,169,A_Planet3_ES,End,09:40.6,1,331,5,514762530,,,,3,4,1,3,1,3,3,3,2,3,1,,,,,,2,uln4i2w2
Pollution,332,e7h9rbd1,169,169,A_Planet3_ES,End,52:42.8,1,332,0,64307152,,,,1,3,4,3,4,4,1,1,4,1,5,,,,,,2,uln4i2w2
Public Services,333,rsbs1p9q,169,169,A_Planet3_ES,End,24:22.2,1,333,2,257604213,,,,2,4,3,2,3,2,3,1,4,4,4,,,,,,2,uln4i2w2
Road Pricing,334,q0dydon9,169,169,A_Planet3_ES,End,06:07.5,1,334,6,621536470,,,,1,1,1,4,3,4,2,2,1,2,2,,,,,,2,uln4i2w2
Social Norm,335,f479a1b0,169,169,A_Planet3_ES,End,39:26.8,1,335,4,476503214,,,,2,1,1,4,1,2,3,3,2,3,5,,,,,,2,uln4i2w2
Baseline,336,qt2e9f7u,169,169,A_Planet3_ES,End,10:56.7,1,336,5,535140672,,,,2,4,3,3,2,1,3,4,2,4,2,,,,,,2,uln4i2w2
Pollution,337,y12trzda,169,169,A_Planet3_ES,End,51:07.0,1,337,4,470653214,,,,2,4,1,3,4,1,2,2,1,3,4,,,,,,2,uln4i2w2
Public Services,338,7qxsg9eo,169,169,A_Planet3_ES,End,26:04.9,1,338,7,736517402,,,,2,4,3,1,3,3,3,1,2,2,5,,,,,,2,uln4i2w2
Road Pricing,339,sc4brc2t,169,169,A_Planet3_ES,End,42:29.1,1,339,1,145320716,,,,2,4,2,4,4,4,3,3,1,3,5,,,,,,2,uln4i2w2
Social Norm,340,8rdefmgd,169,169,A_Planet3_ES,End,09:21.8,1,340,4,475403621,,,,3,4,1,1,4,3,3,4,2,2,2,,,,,,2,uln4i2w2
Baseline,341,d7s9vzd3,169,169,A_Planet3_ES,End,30:02.1,1,341,5,515742306,,,,1,4,3,3,2,1,3,4,2,4,2,,,,,,2,uln4i2w2
Public Services,343,yr5ven0y,150,169,A_Planet3_ES,A3c,17:32.7,1,343,3,314075362,,,,3,3,2,2,3,2,4,3,1,4,1,,,,,,2,uln4i2w2
Road Pricing,344,n01qkm8k,169,169,A_Planet3_ES,End,27:11.9,1,344,1,173641520,,,,3,4,1,4,3,2,1,1,1,2,4,,,,,,2,uln4i2w2
Baseline,1,ooxl8r2l,169,169,A_Planet3_ES,End,52:53.9,1,1,4,445067231,,,,3,4,1,3,4,1,2,2,1,3,4,,,,,,3,uln4i2w2
Pollution,2,i6cytpys,169,169,A_Planet3_ES,End,27:59.7,1,2,0,5213467,,,,1,3,2,1,1,5,4,3,4,2,3,,,,,,3,uln4i2w2
Public Services,3,js43i4q6,169,169,A_Planet3_ES,End,15:31.7,1,3,7,727301546,,,,2,1,1,1,4,1,4,3,3,2,4,,,,,,3,uln4i2w2
Road Pricing,4,wjalnvbm,169,169,A_Planet3_ES,End,32:09.6,1,4,0,64507312,,,,2,3,3,2,4,1,4,4,4,2,5,,,,,,3,uln4i2w2
Social Norm,5,bt4ub78z,169,169,A_Planet3_ES,End,24:33.9,1,5,7,752760341,,,,1,2,2,4,4,2,3,4,1,1,3,,,,,,3,uln4i2w2
Baseline,6,5thamyfx,169,169,A_Planet3_ES,End,08:54.6,1,6,0,31407625,,,,2,3,4,3,4,4,1,1,4,1,5,,,,,,3,uln4i2w2
Pollution,7,8xnl007r,169,169,A_Planet3_ES,End,24:41.5,1,7,2,265437021,,,,2,3,2,3,2,5,2,1,2,1,3,,,,,,3,uln4i2w2
Public Services,8,wa9mirry,169,169,A_Planet3_ES,End,11:01.5,1,8,7,706253471,,,,3,4,1,2,3,3,3,3,4,1,4,,,,,,3,uln4i2w2
Road Pricing,9,7swa81a6,169,169,A_Planet3_ES,End,24:46.0,1,9,4,471032546,,,,3,4,1,3,4,1,2,2,1,3,4,,,,,,3,uln4i2w2
Social Norm,10,8utng60s,169,169,A_Planet3_ES,End,02:03.4,1,10,3,374325160,,,,2,2,2,1,3,5,3,3,4,2,3,,,,,,3,uln4i2w2
Baseline,11,iljz4kcr,169,169,A_Planet3_ES,End,54:06.3,1,11,0,75412306,,,,3,1,1,4,1,5,3,4,3,4,4,,,,,,3,uln4i2w2
Pollution,12,a74gqjmu,8,169,A_Planet1_ES,B6,06:07.8,1,12,,,,,,,,,,,,,,,,,,,,,,3,uln4i2w2
Public Services,13,g57v7f6b,169,169,A_Planet3_ES,End,00:06.7,1,13,1,161075432,,,,3,1,1,2,4,3,2,1,3,2,1,,,,,,3,uln4i2w2
Road Pricing,14,mjk6292s,169,169,A_Planet3_ES,End,58:03.4,1,14,0,62701453,,,,1,1,1,3,2,5,3,1,1,3,4,,,,,,3,uln4i2w2
Social Norm,15,b2zbxt87,169,169,A_Planet3_ES,End,17:16.1,1,15,2,204637125,,,,2,4,4,1,1,3,3,3,3,4,2,,,,,,3,uln4i2w2
Baseline,16,f7l8qaxj,169,169,A_Planet3_ES,End,26:40.5,1,16,7,705162734,,,,2,3,4,4,2,2,1,1,3,1,5,,,,,,3,uln4i2w2
Pollution,17,gc2yc6kb,169,169,A_Planet3_ES,End,00:40.1,1,17,4,457634102,,,,2,3,3,2,3,5,1,1,4,1,2,,,,,,3,uln4i2w2
Public Services,18,lceiue4p,169,169,A_Planet3_ES,End,52:30.5,1,18,5,546127530,,,,3,3,1,3,2,2,4,4,1,3,4,,,,,,3,uln4i2w2
Road Pricing,19,yhtytjg8,169,169,A_Planet3_ES,End,03:38.2,1,19,4,424735601,,,,2,4,4,3,1,1,2,1,4,4,5,,,,,,3,uln4i2w2
Social Norm,20,oce85yq5,169,169,A_Planet3_ES,End,37:56.9,1,20,2,253140267,,,,1,1,1,3,2,4,3,4,4,4,3,,,,,,3,uln4i2w2
Baseline,21,2x8lwzgs,169,169,A_Planet3_ES,End,16:30.4,1,21,2,230165427,,,,2,3,4,4,4,3,1,1,3,2,4,,,,,,3,uln4i2w2
Pollution,22,s3lur6hw,169,169,A_Planet3_ES,End,07:39.0,1,22,1,150617234,,,,3,4,3,2,1,5,3,4,1,2,1,,,,,,3,uln4i2w2
Public Services,23,xrbj74l6,169,169,A_Planet3_ES,End,56:58.5,1,23,2,271532046,,,,2,4,2,2,2,3,1,1,4,3,5,,,,,,3,uln4i2w2
Road Pricing,24,j632e8gi,169,169,A_Planet3_ES,End,52:17.6,1,24,2,215703642,,,,1,4,3,2,3,2,3,1,4,4,4,,,,,,3,uln4i2w2
Social Norm,25,vbrs1zxw,169,169,A_Planet3_ES,End,17:17.2,1,25,0,26703451,,,,2,1,1,3,2,5,3,1,1,3,4,,,,,,3,uln4i2w2
Baseline,26,dp91xtaq,169,169,A_Planet3_ES,End,59:31.1,1,26,7,715074263,,,,1,1,1,1,4,4,2,1,2,3,1,,,,,,3,uln4i2w2
Pollution,27,3wx4k804,169,169,A_Planet3_ES,End,08:37.4,1,27,7,724753160,,,,2,3,4,1,1,3,2,2,4,4,2,,,,,,3,uln4i2w2
Public Services,28,ku4wa0bo,169,169,A_Planet3_ES,End,39:47.2,1,28,5,504625173,,,,3,4,1,2,3,4,3,3,4,4,5,,,,,,3,uln4i2w2
Road Pricing,29,xqb85ccf,169,169,A_Planet3_ES,End,02:59.6,1,29,0,30251746,,,,2,3,2,1,1,5,4,3,4,2,3,,,,,,3,uln4i2w2
Social Norm,30,7bbx2y71,169,169,A_Planet3_ES,End,51:09.2,1,30,5,570163524,,,,1,3,1,3,2,2,4,4,1,3,4,,,,,,3,uln4i2w2
Baseline,31,blto2mcw,169,169,A_Planet3_ES,End,17:36.7,1,31,2,210473652,,,,3,2,1,2,1,3,3,2,3,2,5,,,,,,3,uln4i2w2
Pollution,32,x30bjs8t,169,169,A_Planet3_ES,End,00:08.4,1,32,4,437504612,,,,2,3,4,2,2,2,4,1,1,4,3,,,,,,3,uln4i2w2
Public Services,33,j1jyvbvz,169,169,A_Planet3_ES,End,14:49.2,1,33,6,624156370,,,,1,2,2,1,2,2,1,1,4,3,4,,,,,,3,uln4i2w2
Road Pricing,34,u64v8el2,169,169,A_Planet3_ES,End,51:31.4,1,34,1,123461570,,,,3,4,2,4,2,5,2,1,2,4,4,,,,,,3,uln4i2w2
Social Norm,35,04x8stxz,169,169,A_Planet3_ES,End,01:03.9,1,35,6,613207465,,,,1,3,1,3,3,4,4,4,2,1,2,,,,,,3,uln4i2w2
Baseline,36,i9o0qyx0,169,169,A_Planet3_ES,End,37:16.7,1,36,6,676523041,,,,2,1,1,4,1,2,4,4,3,4,5,,,,,,3,uln4i2w2
Pollution,37,06u8w2cd,169,169,A_Planet3_ES,End,43:51.2,1,37,6,613642057,,,,2,3,1,1,1,2,2,2,2,4,5,,,,,,3,uln4i2w2
Public Services,38,squ1qny3,169,169,A_Planet3_ES,End,29:05.4,1,38,3,302617534,,,,3,3,3,4,3,4,4,1,2,4,5,,,,,,3,uln4i2w2
Road Pricing,39,1nh05e9w,169,169,A_Planet3_ES,End,37:34.2,1,39,6,647152360,,,,2,2,2,1,2,2,1,1,4,3,4,,,,,,3,uln4i2w2
Social Norm,40,axzk9gj9,169,169,A_Planet3_ES,End,19:44.7,1,40,4,406752134,,,,1,2,1,4,4,5,4,4,3,1,1,,,,,,3,uln4i2w2
Baseline,41,0kr4ett4,1,169,A_Planet1_ES,A1,07:52.7,1,41,,,,,,,,,,,,,,,,,,,,,,3,uln4i2w2
Pollution,42,86t6doru,169,169,A_Planet3_ES,End,01:02.8,1,42,2,220731465,,,,3,4,3,2,3,2,3,1,4,4,4,,,,,,3,uln4i2w2
Public Services,43,m58iw3h4,169,169,A_Planet3_ES,End,06:25.8,1,43,1,146510273,,,,2,4,2,4,4,4,3,3,1,3,5,,,,,,3,uln4i2w2
Road Pricing,44,uhxmj0wy,169,169,A_Planet3_ES,End,41:35.2,1,44,4,471064325,,,,2,2,2,1,3,4,4,1,3,4,1,,,,,,3,uln4i2w2
Social Norm,45,mljhhksv,169,169,A_Planet3_ES,End,55:53.8,1,45,5,550714623,,,,2,4,3,3,1,2,3,1,2,2,5,,,,,,3,uln4i2w2
Baseline,46,mwllqpwo,169,169,A_Planet3_ES,End,04:55.7,1,46,7,724750136,,,,1,2,2,4,4,2,3,4,1,1,3,,,,,,3,uln4i2w2
Pollution,47,tklufas1,169,169,A_Planet3_ES,End,13:22.6,1,47,7,745620731,,,,1,3,1,2,2,5,4,3,1,3,3,,,,,,3,uln4i2w2
Public Services,48,n1jz31mj,169,169,A_Planet3_ES,End,50:29.7,1,48,1,165324170,,,,1,1,1,1,2,4,4,1,4,3,2,,,,,,3,uln4i2w2
Road Pricing,49,q8qluwoa,169,169,A_Planet3_ES,End,58:25.7,1,49,1,102351467,,,,1,4,1,4,3,2,1,1,1,2,4,,,,,,3,uln4i2w2
Social Norm,50,6qhl0fs6,169,169,A_Planet3_ES,End,14:24.3,1,50,4,407625134,,,,2,1,1,4,1,2,3,3,2,3,5,,,,,,3,uln4i2w2
Baseline,51,cuye6dd3,169,169,A_Planet3_ES,End,06:28.2,1,51,2,246317520,,,,1,1,1,1,2,3,3,2,4,1,1,,,,,,3,uln4i2w2
Pollution,52,ubf01yyz,169,169,A_Planet3_ES,End,36:50.9,1,52,3,356401327,,,,1,3,2,2,3,2,4,3,1,4,1,,,,,,3,uln4i2w2
Public Services,53,025baf3d,169,169,A_Planet3_ES,End,13:17.1,1,53,2,240617235,,,,3,3,3,3,4,2,4,4,1,1,3,,,,,,3,uln4i2w2
Road Pricing,54,u1sfa65t,169,169,A_Planet3_ES,End,27:17.0,1,54,5,523451706,,,,2,4,1,3,1,3,3,3,2,3,1,,,,,,3,uln4i2w2
Social Norm,55,f1gy2a1i,169,169,A_Planet3_ES,End,42:24.8,1,55,4,463257104,,,,3,4,2,2,2,4,2,1,4,3,1,,,,,,3,uln4i2w2
Baseline,56,00yymq0o,169,169,A_Planet3_ES,End,51:21.2,1,56,2,234210765,,,,2,3,4,3,1,3,4,3,1,3,4,,,,,,3,uln4i2w2
Pollution,57,sfblbvwk,169,169,A_Planet3_ES,End,11:31.5,1,57,5,521403765,,,,1,3,3,2,3,1,4,1,3,1,3,,,,,,3,uln4i2w2
Public Services,58,okgoorqe,169,169,A_Planet3_ES,End,05:07.6,1,58,0,31647250,,,,2,3,1,2,4,4,2,2,1,2,3,,,,,,3,uln4i2w2
Road Pricing,59,vdaxa6tc,169,169,A_Planet3_ES,End,32:56.5,1,59,4,403764152,,,,1,2,1,4,4,5,4,4,3,1,1,,,,,,3,uln4i2w2
Social Norm,60,o4o34ebb,169,169,A_Planet3_ES,End,59:42.6,1,60,7,772041356,,,,1,1,1,1,4,4,2,1,2,3,1,,,,,,3,uln4i2w2
Baseline,61,ucm1u4ag,169,169,A_Planet3_ES,End,02:17.8,1,61,6,645620731,,,,2,3,1,1,1,2,2,2,2,4,5,,,,,,3,uln4i2w2
Pollution,62,0heamljk,169,169,A_Planet3_ES,End,21:41.8,1,62,0,72035614,,,,2,4,1,1,4,2,2,2,2,1,3,,,,,,3,uln4i2w2
Public Services,63,qo94kr9x,169,169,A_Planet3_ES,End,59:01.7,1,63,5,501453276,,,,3,4,1,3,1,3,3,3,2,3,1,,,,,,3,uln4i2w2
Road Pricing,64,lqwx8yq8,169,169,A_Planet3_ES,End,39:33.9,1,64,2,201472536,,,,1,3,2,3,2,5,2,1,2,1,3,,,,,,3,uln4i2w2
Social Norm,65,m3gt87zy,169,169,A_Planet3_ES,End,19:42.9,1,65,2,242016357,,,,2,4,2,3,3,1,2,1,1,2,4,,,,,,3,uln4i2w2
Baseline,66,87r3ztc7,169,169,A_Planet3_ES,End,52:00.4,1,66,3,330745261,,,,1,3,3,1,1,5,1,1,2,4,1,,,,,,3,uln4i2w2
Pollution,67,bcqkcoin,169,169,A_Planet3_ES,End,57:40.8,1,67,7,745317062,,,,1,4,3,3,2,4,1,1,1,4,1,,,,,,3,uln4i2w2
Public Services,68,mxwgg2gu,169,169,A_Planet3_ES,End,26:19.4,1,68,5,530421657,,,,1,4,1,3,1,3,3,3,2,3,1,,,,,,3,uln4i2w2
Social Norm,70,knetg7bm,169,169,A_Planet3_ES,End,45:52.7,1,70,0,47650132,,,,2,3,1,2,4,4,2,2,1,2,3,,,,,,3,uln4i2w2
Baseline,71,hrd6w0r8,169,169,A_Planet3_ES,End,01:08.6,1,71,4,443105627,,,,1,2,1,3,2,4,3,4,4,4,1,,,,,,3,uln4i2w2
Pollution,72,kapv8l3b,169,169,A_Planet3_ES,End,27:49.0,1,72,7,715367204,,,,3,1,1,1,4,1,4,3,3,2,4,,,,,,3,uln4i2w2
Public Services,73,5rwmd8l6,169,169,A_Planet3_ES,End,31:17.6,1,73,0,3715264,,,,2,3,1,1,3,4,1,1,3,2,5,,,,,,3,uln4i2w2
Road Pricing,74,40ibzesx,169,169,A_Planet3_ES,End,01:44.6,1,74,0,2534617,,,,1,4,4,4,2,5,3,3,2,4,1,,,,,,3,uln4i2w2
Social Norm,75,9vtbeq8e,169,169,A_Planet3_ES,End,07:24.1,1,75,6,650437261,,,,2,4,2,1,4,1,3,4,2,3,5,,,,,,3,uln4i2w2
Baseline,76,aamf7pwl,169,169,A_Planet3_ES,End,23:34.7,1,76,4,435710426,,,,1,4,4,3,1,1,2,1,4,4,5,,,,,,3,uln4i2w2
Public Services,78,9lk12f65,169,169,A_Planet3_ES,End,44:01.1,1,78,6,632146057,,,,3,1,1,4,3,4,2,2,1,2,2,,,,,,3,uln4i2w2
Road Pricing,79,qp73ogxu,169,169,A_Planet3_ES,End,02:30.6,1,79,1,142760351,,,,1,4,4,3,1,2,3,2,1,2,1,,,,,,3,uln4i2w2
Social Norm,80,9brj2ixg,169,169,A_Planet3_ES,End,33:10.4,1,80,6,650714263,,,,2,3,1,4,1,3,4,4,3,4,5,,,,,,3,uln4i2w2
Baseline,81,qi09q0sa,169,169,A_Planet3_ES,End,34:36.1,1,81,6,640132765,,,,1,1,1,4,3,4,2,2,1,2,2,,,,,,3,uln4i2w2
Pollution,82,z4ro1c9x,169,169,A_Planet3_ES,End,43:07.9,1,82,4,420475163,,,,3,4,2,4,1,1,3,3,3,4,3,,,,,,3,uln4i2w2
Public Services,83,rjcuuycq,169,169,A_Planet3_ES,End,57:46.5,1,83,5,554126037,,,,3,3,1,3,2,2,4,4,1,3,4,,,,,,3,uln4i2w2
Road Pricing,84,j659sltz,169,169,A_Planet3_ES,End,05:47.8,1,84,2,270653421,,,,1,4,4,1,1,3,3,3,3,4,2,,,,,,3,uln4i2w2
Social Norm,85,2eqkjz0s,169,169,A_Planet3_ES,End,25:31.8,1,85,6,641523076,,,,3,1,1,4,1,2,4,4,3,4,5,,,,,,3,uln4i2w2
Baseline,86,q8zk1goq,169,169,A_Planet3_ES,End,01:35.2,1,86,5,515367204,,,,2,3,2,1,4,2,2,1,4,3,1,,,,,,3,uln4i2w2
Pollution,87,vz4ndwcd,169,169,A_Planet3_ES,End,36:04.2,1,87,6,610754326,,,,2,4,4,3,4,5,3,1,4,1,3,,,,,,3,uln4i2w2
Public Services,88,2s8tpdkn,169,169,A_Planet3_ES,End,03:08.2,1,88,1,165702413,,,,3,4,4,3,1,2,3,2,1,2,1,,,,,,3,uln4i2w2
Road Pricing,89,7qmr53qd,169,169,A_Planet3_ES,End,56:27.9,1,89,4,407546213,,,,2,4,1,1,4,3,3,4,2,2,2,,,,,,3,uln4i2w2
Social Norm,90,h1333c3r,169,169,A_Planet3_ES,End,59:29.2,1,90,5,503217564,,,,2,2,2,1,1,5,1,1,3,3,2,,,,,,3,uln4i2w2
Baseline,91,svgvhfkx,169,169,A_Planet3_ES,End,01:45.1,1,91,7,770425361,,,,1,1,1,1,3,2,2,2,4,4,3,,,,,,3,uln4i2w2
Pollution,92,wv0toxws,169,169,A_Planet3_ES,End,30:40.7,1,92,5,527645130,,,,2,3,3,4,4,5,4,1,2,3,4,,,,,,3,uln4i2w2
Public Services,93,kude0f05,169,169,A_Planet3_ES,End,36:53.5,1,93,4,432716504,,,,2,4,4,3,1,1,2,1,4,4,5,,,,,,3,uln4i2w2
Road Pricing,94,y78a0e4p,169,169,A_Planet3_ES,End,13:57.2,1,94,6,626714053,,,,2,4,4,3,4,5,3,1,4,1,3,,,,,,3,uln4i2w2
Social Norm,95,alsprk3f,169,169,A_Planet3_ES,End,44:47.8,1,95,4,471425630,,,,2,4,2,4,1,1,3,3,3,4,3,,,,,,3,uln4i2w2
Baseline,96,enhpmva1,169,169,A_Planet3_ES,End,18:29.5,1,96,5,552674301,,,,3,3,3,4,4,5,4,1,2,3,4,,,,,,3,uln4i2w2
Pollution,97,s3iwzftl,169,169,A_Planet3_ES,End,07:21.7,1,97,5,552603714,,,,3,4,1,2,3,4,3,3,4,4,5,,,,,,3,uln4i2w2
Public Services,98,lhilbbyr,169,169,A_Planet3_ES,End,28:28.0,1,98,2,224570631,,,,3,4,2,2,2,3,1,1,4,3,5,,,,,,3,uln4i2w2
Road Pricing,99,mmwi7ssd,169,169,A_Planet3_ES,End,03:47.7,1,99,0,72601435,,,,2,3,1,2,4,4,2,2,1,2,3,,,,,,3,uln4i2w2
Social Norm,100,ckgdbhy3,169,169,A_Planet3_ES,End,01:53.7,1,100,5,526510734,,,,2,4,3,3,2,1,3,4,2,4,2,,,,,,3,uln4i2w2
Baseline,101,ygzo60jz,169,169,A_Planet3_ES,End,21:59.8,1,101,1,154163207,,,,1,2,2,3,4,1,4,1,4,2,5,,,,,,3,uln4i2w2
Pollution,102,o36q4v3s,169,169,A_Planet3_ES,End,20:32.9,1,102,7,724356170,,,,1,1,1,1,4,1,4,3,3,2,4,,,,,,3,uln4i2w2
Public Services,103,2chu8i27,169,169,A_Planet3_ES,End,18:37.3,1,103,4,443726015,,,,2,4,4,3,1,1,2,1,4,4,5,,,,,,3,uln4i2w2
Road Pricing,104,yatjkrmr,169,169,A_Planet3_ES,End,57:04.5,1,104,0,5732614,,,,3,1,1,3,2,5,3,1,1,3,4,,,,,,3,uln4i2w2
Social Norm,105,oljn48l4,169,169,A_Planet3_ES,End,54:54.0,1,105,0,60154723,,,,3,3,4,3,1,4,4,2,1,3,2,,,,,,3,uln4i2w2
Pollution,107,qtpo1paq,169,169,A_Planet3_ES,End,12:52.4,1,107,4,474135062,,,,1,3,4,4,4,1,2,1,3,2,4,,,,,,3,uln4i2w2
Public Services,108,nc77kida,169,169,A_Planet3_ES,End,58:30.7,1,108,3,370524361,,,,3,3,2,2,1,1,2,1,4,4,2,,,,,,3,uln4i2w2
Road Pricing,109,hgm4z5p8,169,169,A_Planet3_ES,End,09:04.2,1,109,5,562140375,,,,2,4,4,1,3,4,3,1,3,2,2,,,,,,3,uln4i2w2
Social Norm,110,e13kuef8,169,169,A_Planet3_ES,End,46:49.4,1,110,6,647126350,,,,2,1,1,4,3,4,2,2,1,2,2,,,,,,3,uln4i2w2
Baseline,111,3cz9co3h,169,169,A_Planet3_ES,End,55:55.2,1,111,3,371520643,,,,3,2,1,4,4,2,3,2,2,1,1,,,,,,3,uln4i2w2
Pollution,112,5j8u76qo,169,169,A_Planet3_ES,End,32:04.8,1,112,2,214306527,,,,2,3,2,4,1,1,1,1,1,2,3,,,,,,3,uln4i2w2
Public Services,113,lp4ad4ql,169,169,A_Planet3_ES,End,34:52.9,1,113,6,626541703,,,,2,4,4,3,4,5,1,1,4,1,2,,,,,,3,uln4i2w2
Road Pricing,114,syr4wgae,169,169,A_Planet3_ES,End,03:58.3,1,114,1,163107245,,,,1,2,2,3,4,1,4,1,4,2,5,,,,,,3,uln4i2w2
Pollution,117,xbf6cmvi,169,169,A_Planet3_ES,End,10:10.1,1,117,1,163145702,,,,3,4,1,4,2,5,2,2,3,4,1,,,,,,3,uln4i2w2
Public Services,118,sntst306,169,169,A_Planet3_ES,End,18:17.1,1,118,7,710437256,,,,2,1,1,1,3,2,2,2,4,4,3,,,,,,3,uln4i2w2
Road Pricing,119,gem1bswc,169,169,A_Planet3_ES,End,04:55.5,1,119,5,543260175,,,,1,2,2,1,1,5,1,1,3,3,2,,,,,,3,uln4i2w2
Social Norm,120,xhwxoldo,169,169,A_Planet3_ES,End,51:53.9,1,120,3,354763201,,,,2,3,3,1,1,5,1,1,2,4,1,,,,,,3,uln4i2w2
Baseline,121,mh0zrq4j,169,169,A_Planet3_ES,End,24:43.7,1,121,0,47026531,,,,2,4,1,1,4,2,2,2,2,1,3,,,,,,3,uln4i2w2
Pollution,122,thyenl6n,169,169,A_Planet3_ES,End,03:41.3,1,122,3,357402136,,,,2,4,3,1,4,1,3,2,2,3,2,,,,,,3,uln4i2w2
Public Services,123,7kaff9s6,169,169,A_Planet3_ES,End,35:34.2,1,123,7,760137524,,,,1,1,1,3,1,5,3,4,4,2,2,,,,,,3,uln4i2w2
Road Pricing,124,sluauxoo,169,169,A_Planet3_ES,End,04:11.4,1,124,6,621364570,,,,3,3,3,2,1,3,4,4,3,3,4,,,,,,3,uln4i2w2
Social Norm,125,xf7pyh82,169,169,A_Planet3_ES,End,18:04.6,1,125,7,774605123,,,,3,3,1,2,2,5,4,3,1,3,3,,,,,,3,uln4i2w2
Baseline,126,230y2x7c,169,169,A_Planet3_ES,End,13:21.3,1,126,7,740263175,,,,1,3,3,4,1,4,4,1,2,3,3,,,,,,3,uln4i2w2
Pollution,127,ikggdxke,169,169,A_Planet3_ES,End,53:43.3,1,127,0,17542360,,,,3,3,3,2,4,1,4,4,4,2,5,,,,,,3,uln4i2w2
Public Services,128,2s5j0zxj,169,169,A_Planet3_ES,End,19:02.4,1,128,0,3517426,,,,1,3,3,2,4,1,4,4,4,2,5,,,,,,3,uln4i2w2
Road Pricing,129,xyklbkdg,169,169,A_Planet3_ES,End,52:01.7,1,129,6,625346170,,,,2,4,4,3,3,4,3,3,2,1,3,,,,,,3,uln4i2w2
Social Norm,130,4tw3gwgv,169,169,A_Planet3_ES,End,45:53.3,1,130,3,361470352,,,,3,4,3,1,4,1,3,2,2,3,2,,,,,,3,uln4i2w2
Baseline,131,uc0t2qo5,169,169,A_Planet3_ES,End,33:39.0,1,131,6,636540712,,,,3,1,1,4,1,2,4,4,3,4,5,,,,,,3,uln4i2w2
Pollution,132,fuj3ub9q,169,169,A_Planet3_ES,End,43:59.7,1,132,3,364713025,,,,2,3,3,1,1,5,1,1,2,4,1,,,,,,3,uln4i2w2
Public Services,133,s8o9n3p1,169,169,A_Planet3_ES,End,03:22.7,1,133,4,406321475,,,,3,2,1,1,2,2,4,2,4,3,4,,,,,,3,uln4i2w2
Road Pricing,134,j4sbb0ov,169,169,A_Planet3_ES,End,11:34.4,1,134,6,656173042,,,,3,2,2,1,2,2,1,1,4,3,4,,,,,,3,uln4i2w2
Social Norm,135,hdvmjrl0,169,169,A_Planet3_ES,End,12:47.5,1,135,3,324065713,,,,1,4,3,2,4,5,3,4,3,2,1,,,,,,3,uln4i2w2
Baseline,136,ygq2rbch,169,169,A_Planet3_ES,End,46:32.4,1,136,0,76324510,,,,3,3,1,1,3,3,2,2,4,1,4,,,,,,3,uln4i2w2
Pollution,137,iua0kr3o,169,169,A_Planet3_ES,End,26:11.6,1,137,7,715637420,,,,3,4,3,1,3,3,3,1,2,2,5,,,,,,3,uln4i2w2
Public Services,138,g0rid3nm,169,169,A_Planet3_ES,End,26:13.3,1,138,6,603547612,,,,1,4,4,3,4,5,1,1,4,1,2,,,,,,3,uln4i2w2
Road Pricing,139,ha59x5xj,169,169,A_Planet3_ES,End,26:14.0,1,139,4,417526403,,,,2,3,4,2,2,2,4,1,1,4,3,,,,,,3,uln4i2w2
Social Norm,140,nxuvgudh,169,169,A_Planet3_ES,End,40:52.7,1,140,5,504631572,,,,2,4,1,2,3,4,3,3,4,4,5,,,,,,3,uln4i2w2
Baseline,141,wat5ykjw,169,169,A_Planet3_ES,End,22:44.1,1,141,7,731726540,,,,1,2,2,4,4,2,3,4,1,1,3,,,,,,3,uln4i2w2
Pollution,142,cg7odc0d,169,169,A_Planet3_ES,End,54:30.1,1,142,5,564027351,,,,1,2,2,3,3,3,4,3,2,2,1,,,,,,3,uln4i2w2
Public Services,143,jf155q1k,169,169,A_Planet3_ES,End,04:56.7,1,143,0,46520731,,,,1,4,4,4,2,5,3,3,2,4,1,,,,,,3,uln4i2w2
Road Pricing,144,ualit105,169,169,A_Planet3_ES,End,31:30.0,1,144,5,556147203,,,,1,3,1,3,2,2,4,4,1,3,4,,,,,,3,uln4i2w2
Baseline,146,dli4uco2,169,169,A_Planet3_ES,End,58:57.1,1,146,0,76213504,,,,1,3,2,1,1,5,4,3,4,2,3,,,,,,3,uln4i2w2
Pollution,147,k32enl63,169,169,A_Planet3_ES,End,16:19.5,1,147,2,237021654,,,,3,4,2,3,3,1,2,1,1,2,4,,,,,,3,uln4i2w2
