treatment,participant.id_in_session,participant.code,player.id_in_group,player.random_block,player.random_order,control_question1,control_question2,alternative1,policy_choice,Price_UR_A,Price_UN_A,Price_O_A,EV_A,Revenue_A,Price_UR_B,Price_UN_B,Price_O_B,EV_B,Revenue_B,attributes_binary_1,attributes_binary_2,attributes_binary_3,attributes_binary_4,attributes_binary_5,subsession.round_number,session.code
Social Norm,300,3w25c0m1,300,5.0,554016723.0,,,,1.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,3,uln4i2w2
Baseline,301,6i0h5wi4,301,4.0,445173620.0,,,,3.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,,,3,uln4i2w2
Pollution,302,ffb96eam,302,7.0,727510436.0,,,,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,3,uln4i2w2
Public Services,303,i5eg5b0r,303,7.0,747036215.0,,,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,3,uln4i2w2
Road Pricing,304,uw4hh2jw,304,0.0,5721643.0,,,,2.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,,,,,,3,uln4i2w2
Social Norm,305,4jze1n2r,305,1.0,105241367.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,,,,,,3,uln4i2w2
Baseline,306,zqz532qu,306,2.0,261204735.0,,,,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,,,,,,3,uln4i2w2
Pollution,307,ltvgs7sv,307,6.0,634607152.0,,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,,,,,,3,uln4i2w2
Public Services,308,gudrr5pm,308,0.0,35701624.0,,,,3.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,3,uln4i2w2
Road Pricing,309,7cedtfjx,309,3.0,324753061.0,,,,2.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,,,,,,3,uln4i2w2
Social Norm,310,we2x75pj,310,1.0,171603245.0,,,,1.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,3,uln4i2w2
Baseline,311,igkulx8h,311,5.0,527104536.0,,,,2.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,,,,,,3,uln4i2w2
Pollution,312,7i4hi98y,312,6.0,607635241.0,,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,,,,,,3,uln4i2w2
Public Services,313,n9zu972y,313,1.0,101273654.0,,,,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,,,,,,3,uln4i2w2
Road Pricing,314,o5y27rxx,314,6.0,631762054.0,,,,2.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,,,,,,3,uln4i2w2
Social Norm,315,fctjiy03,315,6.0,663741052.0,,,,3.0,3.0,1.0,4.0,1.0,3.0,4.0,4.0,3.0,4.0,5.0,,,,,,3,uln4i2w2
Baseline,316,vfg2xvzh,316,0.0,5341672.0,,,,1.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,,,,,,3,uln4i2w2
Pollution,317,vxy1i9hq,317,3.0,326751340.0,,,,2.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,,,,,,3,uln4i2w2
Public Services,318,lufojmvn,318,7.0,716235740.0,,,,1.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,,,,,,3,uln4i2w2
Road Pricing,319,bibkwoeq,319,2.0,250463271.0,,,,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,3,uln4i2w2
Social Norm,320,5bujm85s,320,0.0,51603472.0,,,,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,,,,,,3,uln4i2w2
Baseline,321,5y337x7e,321,4.0,442530671.0,,,,2.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,3,uln4i2w2
Pollution,322,p7l67ukz,322,5.0,562570134.0,,,,1.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,3,uln4i2w2
Public Services,323,p23no2x0,323,7.0,737012465.0,,,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,3,uln4i2w2
Road Pricing,324,nbqlqwhw,324,5.0,573126054.0,,,,3.0,3.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,,,,,,3,uln4i2w2
Social Norm,325,ald8i2vp,325,0.0,24701356.0,,,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,3,uln4i2w2
Baseline,326,ol1saa5z,326,6.0,664057123.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,3,uln4i2w2
Public Services,328,0l2vcpx9,328,6.0,602457631.0,,,,2.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,1.0,,,,,,3,uln4i2w2
Road Pricing,329,qhy5uo0t,329,2.0,270623145.0,,,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,3,uln4i2w2
Social Norm,330,80erot00,330,2.0,272051463.0,,,,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,,,,,,3,uln4i2w2
Baseline,331,hugol910,331,5.0,514762530.0,,,,3.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,,,,,,3,uln4i2w2
Pollution,332,e7h9rbd1,332,0.0,64307152.0,,,,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,,,,,3,uln4i2w2
Public Services,333,rsbs1p9q,333,2.0,257604213.0,,,,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,3,uln4i2w2
Road Pricing,334,q0dydon9,334,6.0,621536470.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,3,uln4i2w2
Social Norm,335,f479a1b0,335,4.0,476503214.0,,,,2.0,3.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,3.0,,,,,,3,uln4i2w2
Baseline,336,qt2e9f7u,336,5.0,535140672.0,,,,1.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,3,uln4i2w2
Pollution,337,y12trzda,337,4.0,470653214.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,,,,,,3,uln4i2w2
Public Services,338,7qxsg9eo,338,7.0,736517402.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,3,uln4i2w2
Road Pricing,339,sc4brc2t,339,1.0,145320716.0,,,,3.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,3,uln4i2w2
Social Norm,340,8rdefmgd,340,4.0,475403621.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,,,,,,3,uln4i2w2
Baseline,341,d7s9vzd3,341,5.0,515742306.0,,,,1.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,,,,,,3,uln4i2w2
Public Services,343,yr5ven0y,343,3.0,314075362.0,,,,1.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,,,,,,3,uln4i2w2
Road Pricing,344,n01qkm8k,344,1.0,173641520.0,,,,3.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,3,uln4i2w2
Baseline,1,ooxl8r2l,1,4.0,445067231.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,,,,,,4,uln4i2w2
Pollution,2,i6cytpys,2,0.0,5213467.0,,,,2.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,,,,,,4,uln4i2w2
Public Services,3,js43i4q6,3,7.0,727301546.0,,,,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,4,uln4i2w2
Road Pricing,4,wjalnvbm,4,0.0,64507312.0,,,,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,,,,,,4,uln4i2w2
Social Norm,5,bt4ub78z,5,7.0,752760341.0,,,,2.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,1.0,3.0,3.0,,,,,,4,uln4i2w2
Baseline,6,5thamyfx,6,0.0,31407625.0,,,,3.0,4.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,4,uln4i2w2
Pollution,7,8xnl007r,7,2.0,265437021.0,,,,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,4,uln4i2w2
Public Services,8,wa9mirry,8,7.0,706253471.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,4,uln4i2w2
Road Pricing,9,7swa81a6,9,4.0,471032546.0,,,,3.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,4,uln4i2w2
Social Norm,10,8utng60s,10,3.0,374325160.0,,,,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,,,,,,4,uln4i2w2
Baseline,11,iljz4kcr,11,0.0,75412306.0,,,,3.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,,,,,,4,uln4i2w2
Pollution,12,a74gqjmu,12,,,,,,,,,,,,,,,,,,,,,,4,uln4i2w2
Public Services,13,g57v7f6b,13,1.0,161075432.0,,,,3.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,4,uln4i2w2
Road Pricing,14,mjk6292s,14,0.0,62701453.0,,,,1.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,,,,,,4,uln4i2w2
Social Norm,15,b2zbxt87,15,2.0,204637125.0,,,,2.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,4,uln4i2w2
Baseline,16,f7l8qaxj,16,7.0,705162734.0,,,,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,,,,,,4,uln4i2w2
Pollution,17,gc2yc6kb,17,4.0,457634102.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,,,,,,4,uln4i2w2
Public Services,18,lceiue4p,18,5.0,546127530.0,,,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,,,,,,4,uln4i2w2
Road Pricing,19,yhtytjg8,19,4.0,424735601.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,,,,,,4,uln4i2w2
Social Norm,20,oce85yq5,20,2.0,253140267.0,,,,1.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,3.0,,,,,,4,uln4i2w2
Baseline,21,2x8lwzgs,21,2.0,230165427.0,,,,3.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,4,uln4i2w2
Pollution,22,s3lur6hw,22,1.0,150617234.0,,,,3.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,4,uln4i2w2
Public Services,23,xrbj74l6,23,2.0,271532046.0,,,,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,4,uln4i2w2
Road Pricing,24,j632e8gi,24,2.0,215703642.0,,,,2.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,,,,,,4,uln4i2w2
Social Norm,25,vbrs1zxw,25,0.0,26703451.0,,,,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,,,,,,4,uln4i2w2
Baseline,26,dp91xtaq,26,7.0,715074263.0,,,,2.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,,,,,,4,uln4i2w2
Pollution,27,3wx4k804,27,7.0,724753160.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,4,uln4i2w2
Public Services,28,ku4wa0bo,28,5.0,504625173.0,,,,3.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,,,,,,4,uln4i2w2
Road Pricing,29,xqb85ccf,29,0.0,30251746.0,,,,2.0,3.0,3.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,,,,,,4,uln4i2w2
Social Norm,30,7bbx2y71,30,5.0,570163524.0,,,,3.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,,,,,4,uln4i2w2
Baseline,31,blto2mcw,31,2.0,210473652.0,,,,3.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,,,,,,4,uln4i2w2
Pollution,32,x30bjs8t,32,4.0,437504612.0,,,,2.0,4.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,3.0,4.0,,,,,,4,uln4i2w2
Public Services,33,j1jyvbvz,33,6.0,624156370.0,,,,2.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,4,uln4i2w2
Road Pricing,34,u64v8el2,34,1.0,123461570.0,,,,3.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,,,4,uln4i2w2
Social Norm,35,04x8stxz,35,6.0,613207465.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,4,uln4i2w2
Baseline,36,i9o0qyx0,36,6.0,676523041.0,,,,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,4,uln4i2w2
Pollution,37,06u8w2cd,37,6.0,613642057.0,,,,1.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,,,,,,4,uln4i2w2
Public Services,38,squ1qny3,38,3.0,302617534.0,,,,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,4,uln4i2w2
Road Pricing,39,1nh05e9w,39,6.0,647152360.0,,,,2.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,4,uln4i2w2
Social Norm,40,axzk9gj9,40,4.0,406752134.0,,,,1.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,4,uln4i2w2
Baseline,41,0kr4ett4,41,,,,,,,,,,,,,,,,,,,,,,4,uln4i2w2
Pollution,42,86t6doru,42,2.0,220731465.0,,,,3.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,,,,,4,uln4i2w2
Public Services,43,m58iw3h4,43,1.0,146510273.0,,,,1.0,4.0,1.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,1.0,,,,,,4,uln4i2w2
Road Pricing,44,uhxmj0wy,44,4.0,471064325.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,,,,,,4,uln4i2w2
Social Norm,45,mljhhksv,45,5.0,550714623.0,,,,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,4,uln4i2w2
Baseline,46,mwllqpwo,46,7.0,724750136.0,,,,1.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,4,uln4i2w2
Pollution,47,tklufas1,47,7.0,745620731.0,,,,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,,,,,,4,uln4i2w2
Public Services,48,n1jz31mj,48,1.0,165324170.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,,,,,,4,uln4i2w2
Road Pricing,49,q8qluwoa,49,1.0,102351467.0,,,,1.0,3.0,3.0,1.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,,,,,,4,uln4i2w2
Social Norm,50,6qhl0fs6,50,4.0,407625134.0,,,,1.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,4,uln4i2w2
Baseline,51,cuye6dd3,51,2.0,246317520.0,,,,2.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,,,,,,4,uln4i2w2
Pollution,52,ubf01yyz,52,3.0,356401327.0,,,,1.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,,,,,,4,uln4i2w2
Public Services,53,025baf3d,53,2.0,240617235.0,,,,3.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,,,,,,4,uln4i2w2
Road Pricing,54,u1sfa65t,54,5.0,523451706.0,,,,2.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,4,uln4i2w2
Social Norm,55,f1gy2a1i,55,4.0,463257104.0,,,,3.0,4.0,1.0,1.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,,,,,,4,uln4i2w2
Baseline,56,00yymq0o,56,2.0,234210765.0,,,,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,,,,,,4,uln4i2w2
Pollution,57,sfblbvwk,57,5.0,521403765.0,,,,1.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,,,,,,4,uln4i2w2
Public Services,58,okgoorqe,58,0.0,31647250.0,,,,1.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,4,uln4i2w2
Road Pricing,59,vdaxa6tc,59,4.0,403764152.0,,,,3.0,1.0,1.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,,,,,,4,uln4i2w2
Social Norm,60,o4o34ebb,60,7.0,772041356.0,,,,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,,,,,,4,uln4i2w2
Baseline,61,ucm1u4ag,61,6.0,645620731.0,,,,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,4,uln4i2w2
Pollution,62,0heamljk,62,0.0,72035614.0,,,,1.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,,,,,4,uln4i2w2
Public Services,63,qo94kr9x,63,5.0,501453276.0,,,,3.0,4.0,3.0,3.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,,,,,,4,uln4i2w2
Road Pricing,64,lqwx8yq8,64,2.0,201472536.0,,,,2.0,4.0,3.0,2.0,3.0,2.0,3.0,1.0,4.0,4.0,4.0,,,,,,4,uln4i2w2
Social Norm,65,m3gt87zy,65,2.0,242016357.0,,,,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,,,,,,4,uln4i2w2
Baseline,66,87r3ztc7,66,3.0,330745261.0,,,,1.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,1.0,,,,,,4,uln4i2w2
Pollution,67,bcqkcoin,67,7.0,745317062.0,,,,2.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,4,uln4i2w2
Public Services,68,mxwgg2gu,68,5.0,530421657.0,,,,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,5.0,,,,,,4,uln4i2w2
Social Norm,70,knetg7bm,70,0.0,47650132.0,,,,1.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,,,,,,4,uln4i2w2
Baseline,71,hrd6w0r8,71,4.0,443105627.0,,,,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,4,uln4i2w2
Pollution,72,kapv8l3b,72,7.0,715367204.0,,,,3.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,,,,,,4,uln4i2w2
Public Services,73,5rwmd8l6,73,0.0,3715264.0,,,,2.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,3.0,2.0,,,,,,4,uln4i2w2
Road Pricing,74,40ibzesx,74,0.0,2534617.0,,,,2.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,,,,,,4,uln4i2w2
Social Norm,75,9vtbeq8e,75,6.0,650437261.0,,,,1.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,,,,,4,uln4i2w2
Baseline,76,aamf7pwl,76,4.0,435710426.0,,,,2.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,,,,,,4,uln4i2w2
Public Services,78,9lk12f65,78,6.0,632146057.0,,,,3.0,3.0,4.0,2.0,3.0,5.0,4.0,2.0,1.0,4.0,1.0,,,,,,4,uln4i2w2
Road Pricing,79,qp73ogxu,79,1.0,142760351.0,,,,1.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,,,4,uln4i2w2
Social Norm,80,9brj2ixg,80,6.0,650714263.0,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,,,,,,4,uln4i2w2
Baseline,81,qi09q0sa,81,6.0,640132765.0,,,,2.0,3.0,3.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,,,,,,4,uln4i2w2
Pollution,82,z4ro1c9x,82,4.0,420475163.0,,,,1.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,,,,,,4,uln4i2w2
Public Services,83,rjcuuycq,83,5.0,554126037.0,,,,3.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,,,,,,4,uln4i2w2
Road Pricing,84,j659sltz,84,2.0,270653421.0,,,,1.0,1.0,1.0,4.0,3.0,5.0,4.0,2.0,2.0,2.0,3.0,,,,,,4,uln4i2w2
Social Norm,85,2eqkjz0s,85,6.0,641523076.0,,,,3.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,,,,,,4,uln4i2w2
Baseline,86,q8zk1goq,86,5.0,515367204.0,,,,1.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,,,,,4,uln4i2w2
Pollution,87,vz4ndwcd,87,6.0,610754326.0,,,,1.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,4,uln4i2w2
Public Services,88,2s8tpdkn,88,1.0,165702413.0,,,,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,2.0,1.0,,,,,,4,uln4i2w2
Road Pricing,89,7qmr53qd,89,4.0,407546213.0,,,,1.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,,,,,,4,uln4i2w2
Social Norm,90,h1333c3r,90,5.0,503217564.0,,,,1.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,4,uln4i2w2
Baseline,91,svgvhfkx,91,7.0,770425361.0,,,,2.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,,,,,,4,uln4i2w2
Pollution,92,wv0toxws,92,5.0,527645130.0,,,,1.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,,,,,,4,uln4i2w2
Public Services,93,kude0f05,93,4.0,432716504.0,,,,2.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,,,,,,4,uln4i2w2
Road Pricing,94,y78a0e4p,94,6.0,626714053.0,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,,,,,,4,uln4i2w2
Social Norm,95,alsprk3f,95,4.0,471425630.0,,,,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,4,uln4i2w2
Baseline,96,enhpmva1,96,5.0,552674301.0,,,,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,5.0,,,,,,4,uln4i2w2
Pollution,97,s3iwzftl,97,5.0,552603714.0,,,,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,4,uln4i2w2
Public Services,98,lhilbbyr,98,2.0,224570631.0,,,,3.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,,,,,,4,uln4i2w2
Road Pricing,99,mmwi7ssd,99,0.0,72601435.0,,,,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,4.0,2.0,,,,,,4,uln4i2w2
Social Norm,100,ckgdbhy3,100,5.0,526510734.0,,,,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,4,uln4i2w2
Baseline,101,ygzo60jz,101,1.0,154163207.0,,,,2.0,4.0,3.0,2.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,,,,,,4,uln4i2w2
Pollution,102,o36q4v3s,102,7.0,724356170.0,,,,2.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,4,uln4i2w2
Public Services,103,2chu8i27,103,4.0,443726015.0,,,,2.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,4,uln4i2w2
Road Pricing,104,yatjkrmr,104,0.0,5732614.0,,,,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,,,,,4,uln4i2w2
Social Norm,105,oljn48l4,105,0.0,60154723.0,,,,3.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,2.0,4.0,1.0,,,,,,4,uln4i2w2
Pollution,107,qtpo1paq,107,4.0,474135062.0,,,,3.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,,,,,,4,uln4i2w2
Public Services,108,nc77kida,108,3.0,370524361.0,,,,1.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,,,,,,4,uln4i2w2
Road Pricing,109,hgm4z5p8,109,5.0,562140375.0,,,,3.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,,,,,,4,uln4i2w2
Social Norm,110,e13kuef8,110,6.0,647126350.0,,,,2.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,,,,,,4,uln4i2w2
Baseline,111,3cz9co3h,111,3.0,371520643.0,,,,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,,,,,,4,uln4i2w2
Pollution,112,5j8u76qo,112,2.0,214306527.0,,,,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,4,uln4i2w2
Public Services,113,lp4ad4ql,113,6.0,626541703.0,,,,3.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,,,,,,4,uln4i2w2
Road Pricing,114,syr4wgae,114,1.0,163107245.0,,,,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,,,4,uln4i2w2
Pollution,117,xbf6cmvi,117,1.0,163145702.0,,,,3.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0,4.0,4.0,,,,,,4,uln4i2w2
